n_features,fold,train_total,val_total,explained_var
2,1,1600,400,0.4725906329881152
2,2,1600,400,0.4733657100992373
2,3,1600,400,0.4661367662780087
2,4,1600,400,0.4693225324500251
2,5,1600,400,0.47656036489080755
3,1,1600,400,0.5200284824551746
3,2,1600,400,0.5245642739673225
3,3,1600,400,0.5203037252883618
3,4,1600,400,0.5212506628550632
3,5,1600,400,0.5263604974133818
4,1,1600,400,0.5537272250408418
4,2,1600,400,0.5581170744557874
4,3,1600,400,0.5551747746120061
4,4,1600,400,0.551968251424117
4,5,1600,400,0.5607423104078957
5,1,1600,400,0.5834595025016807
5,2,1600,400,0.5883960256405071
5,3,1600,400,0.5855385480315098
5,4,1600,400,0.5783914811329798
5,5,1600,400,0.5904792554319207
6,1,1600,400,0.6082388883464073
6,2,1600,400,0.6114547757189541
6,3,1600,400,0.608384675711529
6,4,1600,400,0.6028474291352923
6,5,1600,400,0.6139216170370925
7,1,1600,400,0.6299238503793063
7,2,1600,400,0.6323222264479569
7,3,1600,400,0.6274432154736986
7,4,1600,400,0.6220246994769695
7,5,1600,400,0.6338419070085514
8,1,1600,400,0.6485763514091327
8,2,1600,400,0.6496643877783799
8,3,1600,400,0.6458491297943536
8,4,1600,400,0.6399426307694132
8,5,1600,400,0.6520452386635001
