n_features,fold,train_total,val_total,explained_var
2,1,1600,400,0.5807112
2,2,1600,400,0.57688123
2,3,1600,400,0.58803296
2,4,1600,400,0.5869339
2,5,1600,400,0.5848249
3,1,1600,400,0.68232113
3,2,1600,400,0.68679404
3,3,1600,400,0.6948471
3,4,1600,400,0.693007
3,5,1600,400,0.68611413
4,1,1600,400,0.78266567
4,2,1600,400,0.78380066
4,3,1600,400,0.79020804
4,4,1600,400,0.79156077
4,5,1600,400,0.78640264
5,1,1600,400,0.8574232
5,2,1600,400,0.85610425
5,3,1600,400,0.86335003
5,4,1600,400,0.8615061
5,5,1600,400,0.8600915
6,1,1600,400,0.9188373
6,2,1600,400,0.9171324
6,3,1600,400,0.9208275
6,4,1600,400,0.92004883
6,5,1600,400,0.91868854
7,1,1600,400,0.9609426
7,2,1600,400,0.9602487
7,3,1600,400,0.9618083
7,4,1600,400,0.96119446
7,5,1600,400,0.9617405
8,1,1600,400,0.98207754
8,2,1600,400,0.9814403
8,3,1600,400,0.98180103
8,4,1600,400,0.98174274
8,5,1600,400,0.98147964
