n_features,fold,train_total,val_total,explained_var
2,1,2400,600,0.452764747925868
2,2,2400,600,0.45629146644484075
2,3,2400,600,0.45205865615553775
2,4,2400,600,0.4542544079207568
2,5,2400,600,0.4580635262377032
3,1,2400,600,0.513021254599478
3,2,2400,600,0.5154247236654386
3,3,2400,600,0.5099671702656798
3,4,2400,600,0.5133869404516103
3,5,2400,600,0.5159210109955313
4,1,2400,600,0.5443081241538094
4,2,2400,600,0.5482315404729381
4,3,2400,600,0.5440441013620683
4,4,2400,600,0.5471552595079018
4,5,2400,600,0.5494247471043406
5,1,2400,600,0.5704538458941968
5,2,2400,600,0.5785405329769124
5,3,2400,600,0.5743074534610103
5,4,2400,600,0.5774725442365811
5,5,2400,600,0.5794595482367462
6,1,2400,600,0.5950028683839997
6,2,2400,600,0.6015916974663609
6,3,2400,600,0.5970659834691031
6,4,2400,600,0.6004377744431817
6,5,2400,600,0.6021011678283147
7,1,2400,600,0.6135744850571571
7,2,2400,600,0.6218258912663366
7,3,2400,600,0.6171200139368824
7,4,2400,600,0.6212608320000601
7,5,2400,600,0.6220941967488786
8,1,2400,600,0.63115186918441
8,2,2400,600,0.6390828944587422
8,3,2400,600,0.6350151787455258
8,4,2400,600,0.6381885415761458
8,5,2400,600,0.6406579437951723
