n_features,fold,train_total,val_total,explained_var,train_class0,val_class0,train_class1,val_class1
2,1,1600,400,0.1374526172876358,800,200,800,200
2,2,1600,400,0.13269731402397156,800,200,800,200
2,3,1600,400,0.13284963369369507,800,200,800,200
2,4,1600,400,0.13763941824436188,800,200,800,200
2,5,1600,400,0.13427919149398804,800,200,800,200
3,1,1600,400,0.18479491770267487,800,200,800,200
3,2,1600,400,0.17900675535202026,800,200,800,200
3,3,1600,400,0.17986708879470825,800,200,800,200
3,4,1600,400,0.18491965532302856,800,200,800,200
3,5,1600,400,0.18087048828601837,800,200,800,200
4,1,1600,400,0.227200448513031,800,200,800,200
4,2,1600,400,0.22008413076400757,800,200,800,200
4,3,1600,400,0.2202429324388504,800,200,800,200
4,4,1600,400,0.22787532210350037,800,200,800,200
4,5,1600,400,0.22248052060604095,800,200,800,200
5,1,1600,400,0.2648797035217285,800,200,800,200
5,2,1600,400,0.2556396722793579,800,200,800,200
5,3,1600,400,0.25386711955070496,800,200,800,200
5,4,1600,400,0.264182448387146,800,200,800,200
5,5,1600,400,0.2579512298107147,800,200,800,200
6,1,1600,400,0.29900985956192017,800,200,800,200
6,2,1600,400,0.2888856530189514,800,200,800,200
6,3,1600,400,0.28730809688568115,800,200,800,200
6,4,1600,400,0.29829055070877075,800,200,800,200
6,5,1600,400,0.29125988483428955,800,200,800,200
7,1,1600,400,0.32800155878067017,800,200,800,200
7,2,1600,400,0.3170943260192871,800,200,800,200
7,3,1600,400,0.31583037972450256,800,200,800,200
7,4,1600,400,0.32721665501594543,800,200,800,200
7,5,1600,400,0.3195580542087555,800,200,800,200
8,1,1600,400,0.35326623916625977,800,200,800,200
8,2,1600,400,0.34214937686920166,800,200,800,200
8,3,1600,400,0.34068864583969116,800,200,800,200
8,4,1600,400,0.35244983434677124,800,200,800,200
8,5,1600,400,0.34421640634536743,800,200,800,200
