n_features,fold,train_total,val_total,explained_var,train_class0,val_class0,train_class1,val_class1,train_class2,val_class2
2,1,3720,930,0.14911425113677979,1240,310,1240,310,1240,310
2,2,3720,930,0.14758700132369995,1240,310,1240,310,1240,310
2,3,3720,930,0.14786851406097412,1240,310,1240,310,1240,310
2,4,3720,930,0.14916470646858215,1240,310,1240,310,1240,310
2,5,3720,930,0.14788171648979187,1240,310,1240,310,1240,310
3,1,3720,930,0.20023970305919647,1240,310,1240,310,1240,310
3,2,3720,930,0.19892479479312897,1240,310,1240,310,1240,310
3,3,3720,930,0.19967147707939148,1240,310,1240,310,1240,310
3,4,3720,930,0.19995099306106567,1240,310,1240,310,1240,310
3,5,3720,930,0.19880759716033936,1240,310,1240,310,1240,310
4,1,3720,930,0.2395075410604477,1240,310,1240,310,1240,310
4,2,3720,930,0.23862789571285248,1240,310,1240,310,1240,310
4,3,3720,930,0.23846392333507538,1240,310,1240,310,1240,310
4,4,3720,930,0.23894907534122467,1240,310,1240,310,1240,310
4,5,3720,930,0.238083153963089,1240,310,1240,310,1240,310
5,1,3720,930,0.26966190338134766,1240,310,1240,310,1240,310
5,2,3720,930,0.2686668336391449,1240,310,1240,310,1240,310
5,3,3720,930,0.26871415972709656,1240,310,1240,310,1240,310
5,4,3720,930,0.26868587732315063,1240,310,1240,310,1240,310
5,5,3720,930,0.268146276473999,1240,310,1240,310,1240,310
6,1,3720,930,0.29884397983551025,1240,310,1240,310,1240,310
6,2,3720,930,0.2982432246208191,1240,310,1240,310,1240,310
6,3,3720,930,0.2985057532787323,1240,310,1240,310,1240,310
6,4,3720,930,0.29829710721969604,1240,310,1240,310,1240,310
6,5,3720,930,0.2977633774280548,1240,310,1240,310,1240,310
7,1,3720,930,0.3228797912597656,1240,310,1240,310,1240,310
7,2,3720,930,0.3224462866783142,1240,310,1240,310,1240,310
7,3,3720,930,0.322633296251297,1240,310,1240,310,1240,310
7,4,3720,930,0.32249248027801514,1240,310,1240,310,1240,310
7,5,3720,930,0.32180342078208923,1240,310,1240,310,1240,310
8,1,3720,930,0.34641164541244507,1240,310,1240,310,1240,310
8,2,3720,930,0.3461512625217438,1240,310,1240,310,1240,310
8,3,3720,930,0.3463805317878723,1240,310,1240,310,1240,310
8,4,3720,930,0.34626150131225586,1240,310,1240,310,1240,310
8,5,3720,930,0.3454385995864868,1240,310,1240,310,1240,310
