n_features,fold,train_total,val_total,explained_var,train_class0,val_class0,train_class1,val_class1,train_class2,val_class2
2,1,2400,600,0.31100202,797,199,784,196,819,205
2,2,2400,600,0.31326026,797,199,784,196,819,205
2,3,2400,600,0.31925288,797,199,784,196,819,205
2,4,2400,600,0.3115176,797,199,784,196,819,205
2,5,2400,600,0.31503972,796,200,784,196,820,204
3,1,2400,600,0.37376451,797,199,784,196,819,205
3,2,2400,600,0.3747596,797,199,784,196,819,205
3,3,2400,600,0.38098726,797,199,784,196,819,205
3,4,2400,600,0.37453952,797,199,784,196,819,205
3,5,2400,600,0.3856371,796,200,784,196,820,204
4,1,2400,600,0.43090558,797,199,784,196,819,205
4,2,2400,600,0.43521446,797,199,784,196,819,205
4,3,2400,600,0.42921677,797,199,784,196,819,205
4,4,2400,600,0.43551573,797,199,784,196,819,205
4,5,2400,600,0.44765028,796,200,784,196,820,204
5,1,2400,600,0.46335417,797,199,784,196,819,205
5,2,2400,600,0.46667442,797,199,784,196,819,205
5,3,2400,600,0.46159634,797,199,784,196,819,205
5,4,2400,600,0.46753192,797,199,784,196,819,205
5,5,2400,600,0.4794455,796,200,784,196,820,204
6,1,2400,600,0.49094293,797,199,784,196,819,205
6,2,2400,600,0.49507654,797,199,784,196,819,205
6,3,2400,600,0.48801363,797,199,784,196,819,205
6,4,2400,600,0.49618027,797,199,784,196,819,205
6,5,2400,600,0.5050708,796,200,784,196,820,204
7,1,2400,600,0.5157924,797,199,784,196,819,205
7,2,2400,600,0.5194287,797,199,784,196,819,205
7,3,2400,600,0.5080965,797,199,784,196,819,205
7,4,2400,600,0.5217591,797,199,784,196,819,205
7,5,2400,600,0.52557534,796,200,784,196,820,204
8,1,2400,600,0.5351611,797,199,784,196,819,205
8,2,2400,600,0.53713435,797,199,784,196,819,205
8,3,2400,600,0.5258803,797,199,784,196,819,205
8,4,2400,600,0.54134977,797,199,784,196,819,205
8,5,2400,600,0.542948,796,200,784,196,820,204
